variable,max,mean,std,min
|B| (nT),19.5957,6.859,3.594,0.659
BR (nT),7.6652,-3.7455,3.8062,-12.5904
BT (nT),15.9224,2.0178,3.7489,-13.28
BN (nT),17.2638,-0.2459,3.513,-14.789
Vp (km/s),661.0,423.0732,114.1682,284.0
Np (cm⁻³),46.3,8.5125,8.7802,0.43
