Time,BField_R,BField_T,BField_N,BTOTAL,HAE_X,HAE_Y,HAE_Z,HEE_X,HEE_Y,HEE_Z,HEEQ_X,HEEQ_Y,HEEQ_Z,CARR_X,CARR_Y,CARR_Z,HCI_X,HCI_Y,HCI_Z,R,Np,Vp,Tp,Vth,Vr_Over_V_RTN,Vt_Over_V_RTN,Vn_Over_V_RTN,Vp_RTN,Entropy,Beta,Total_Pressure,Cone_Angle,Clock_Angle,Magnetic_Pressure,Dynamic_Pressure
2010-08-29 00:00:42,2.1452289,-1.4093741,-0.98973644,2.756612,0.5367242,0.800158,-0.00079528,0.15525821,0.95090455,-0.00077354437,0.15145831,0.9506744,0.04004629,-0.9593897,-0.07932799,0.04004629,0.9075645,-0.32101116,0.04004629,0.9634963,2.88,290.0,13100.0,14.7,0.99990463,0.012797119,0.0051880213,289.12756,-0.6527496,2.046299,9.210738,38.90283,-125.078545,3.0235074,0.23355436
2010-08-29 00:01:42,2.1099212,-1.3569621,-1.0839086,2.7440414,0.53671414,0.8001648,-0.0007953,0.15525821,0.95090455,-0.00077354437,0.15145832,0.9506745,0.04004461,-0.9594023,-0.07917562,0.04004461,0.9075685,-0.32100007,0.04004461,0.9634963,3.03,293.0,15800.0,16.1,0.99995744,0.003425685,0.008564212,291.9124,-0.42242536,2.2163806,9.6364975,39.74388,-128.61702,2.9959948,0.25047493
2010-08-29 00:02:42,2.0581126,-1.2927048,-1.3159279,2.7664094,0.53670406,0.8001717,-0.00079533,0.15525655,0.95090485,-0.00077354437,0.15145668,0.95067483,0.04004293,-0.95941496,-0.07902325,0.04004293,0.9075725,-0.320989,0.04004293,0.9634963,2.82,291.0,13400.0,14.9,0.9999736,0.0,0.0072637307,289.10764,-0.5977325,1.9939504,9.1169195,41.929695,-135.51006,3.0450375,0.22865711
2010-08-29 00:03:42,2.0608594,-1.3112816,-1.2814033,2.7614934,0.536694,0.8001785,-0.00079535,0.15525655,0.95090485,-0.00077354437,0.15145668,0.9506749,0.04004125,-0.9594277,-0.0788692,0.04004125,0.90757644,-0.32097796,0.04004125,0.9634963,2.84,290.0,13400.0,14.9,0.9999801,0.0010376825,0.0062260954,289.10577,-0.6047996,2.0152478,9.149169,41.730465,-134.33975,3.034225,0.23027581
2010-08-29 00:04:42,2.0807734,-1.3113071,-1.2102641,2.7424629,0.5366839,0.8001853,-0.00079538,0.1552549,0.9509051,-0.00077354437,0.15145504,0.95067525,0.04003957,-0.9594403,-0.07871682,0.04003957,0.90758103,-0.3209653,0.04003957,0.9634963,2.84,291.0,13500.0,14.9,0.9999835,0.0031098311,0.004837515,289.4048,-0.5936472,2.0448334,9.1120405,40.648132,-132.7053,2.992549,0.23075242
2010-08-29 00:05:42,2.02417,-1.3048034,-1.2236682,2.7062652,0.53667384,0.8001922,-0.0007954,0.1552549,0.9509051,-0.00077354437,0.15145504,0.9506753,0.04003789,-0.95945287,-0.07856445,0.04003789,0.907585,-0.32095423,0.04003789,0.9634963,2.84,296.0,16100.0,16.3,0.99986047,0.013240936,0.010185336,294.5411,-0.32945278,2.140483,9.151824,41.586285,-133.1621,2.9140732,0.23901582
2010-08-29 00:06:42,1.9301537,-1.3153752,-1.2976376,2.6789224,0.53666383,0.800199,-0.00079543,0.15525323,0.9509054,-0.00077354437,0.15145504,0.9506753,0.04003789,-0.95946544,-0.07841039,0.04003789,0.9075889,-0.32094315,0.04003789,0.9634963,2.63,291.0,13200.0,14.8,0.9997184,0.022368915,0.007915155,290.58182,-0.5505362,1.9800996,8.509846,43.90453,-134.61107,2.855486,0.21543145
2010-08-29 00:07:42,1.9739355,-1.2656143,-1.138765,2.6206262,0.53665376,0.8002058,-0.00079545,0.15525323,0.9509054,-0.00077354437,0.1514534,0.9506756,0.04003621,-0.95947796,-0.078258,0.04003621,0.9075929,-0.3209321,0.04003621,0.9634963,2.7,290.0,13600.0,15.0,0.9999969,-0.0013864775,0.0020797162,288.50092,-0.53202474,2.1305778,8.554708,41.12901,-131.98001,2.732561,0.2180091
2010-08-29 00:08:42,2.0811555,-1.1999438,-0.9492624,2.5850139,0.5366437,0.8002126,-0.00079548,0.15525158,0.9509056,-0.00077354437,0.15145342,0.9506757,0.04003453,-0.9594905,-0.07810562,0.04003453,0.9075969,-0.320921,0.04003453,0.9634963,2.68,291.0,14000.0,15.2,0.9999311,-0.011410002,0.002766061,289.21994,-0.48110843,2.179923,8.454987,36.381546,-128.34714,2.658799,0.2174742
2010-08-29 00:09:42,2.0897417,-1.1851522,-1.0479848,2.6231492,0.5366336,0.8002195,-0.0007955,0.15525158,0.9509056,-0.00077354437,0.15145177,0.950676,0.04003285,-0.95950305,-0.07795156,0.04003285,0.9076014,-0.32090837,0.04003285,0.9634963,2.64,290.0,13300.0,14.8,0.9999908,0.0010387716,0.0041550864,288.80264,-0.54301053,2.074593,8.417909,37.18826,-131.4851,2.7378252,0.21361059
2010-08-29 00:10:42,2.0026906,-1.2492126,-1.2130495,2.6600306,0.53662354,0.8002263,-0.00079553,0.15524991,0.9509059,-0.00077354437,0.15145178,0.9506761,0.04003117,-0.9595155,-0.07779917,0.04003117,0.9076054,-0.3208973,0.04003117,0.9634963,2.79,294.0,15700.0,16.1,0.99993753,0.0023889292,0.010920819,293.0183,-0.34942818,2.1701834,8.92541,41.159306,-134.15855,2.815354,0.23238614
2010-08-29 00:11:42,1.9009967,-1.3704585,-1.377003,2.7203755,0.5366135,0.8002331,-0.00079555,0.15524991,0.9509059,-0.00077354437,0.15145013,0.95067644,0.04002949,-0.9595279,-0.07764678,0.04002949,0.9076094,-0.32088622,0.04002949,0.9634963,2.87,294.0,15600.0,16.1,0.9999286,0.0,0.011952698,292.82092,-0.3872833,2.1329072,9.2252,45.669243,-135.13647,2.94454,0.23872758
2010-08-29 00:12:42,1.921861,-1.3903788,-1.3954264,2.753714,0.53660345,0.8002399,-0.00079558,0.15524825,0.95090616,-0.00077354437,0.15145014,0.9506765,0.04002781,-0.9595404,-0.077492714,0.04002781,0.9076134,-0.32087517,0.04002781,0.9634963,2.85,294.0,14600.0,15.5,0.999947,0.0027377056,0.009924184,292.21548,-0.47966436,2.0519404,9.208403,45.73996,-135.10382,3.0171537,0.23608468
2010-08-29 00:13:42,1.9529325,-1.3521202,-1.3450187,2.730956,0.5365934,0.8002468,-0.0007956,0.15524825,0.95090616,-0.000775226,0.15145014,0.95067656,0.04002613,-0.9595528,-0.07734032,0.04002613,0.9076174,-0.3208641,0.04002613,0.9634963,3.14,295.0,17200.0,16.9,0.99996454,0.006124315,0.0057840752,293.91043,-0.33073637,2.342632,9.919469,44.347828,-134.84914,2.9674895,0.2631335
2010-08-29 00:14:42,1.9894165,-1.3129354,-1.1762273,2.6645823,0.5365833,0.80025357,-0.00079563,0.1552466,0.95090646,-0.000775226,0.15144849,0.95067686,0.04002613,-0.95956504,-0.07718792,0.04002613,0.9076213,-0.32085302,0.04002613,0.9634963,2.81,294.0,15900.0,16.2,0.9998267,0.018414272,0.00272804,293.25082,-0.33758345,2.1814656,8.987853,41.70202,-131.8564,2.8249972,0.23442358
2010-08-29 00:15:42,2.0060852,-1.2974416,-1.0574418,2.6184413,0.53657323,0.8002604,-0.00079565,0.1552466,0.95090646,-0.000775226,0.1514485,0.9506769,0.04002445,-0.9595775,-0.07703384,0.04002445,0.90762585,-0.32084036,0.04002445,0.9634963,2.68,291.0,13800.0,15.1,0.9990217,0.043629903,0.0072143935,291.08478,-0.50269157,2.121473,8.515612,39.991737,-129.18076,2.7280068,0.2202877
2010-08-29 00:16:42,1.937092,-1.3336209,-1.1457847,2.6255326,0.5365632,0.8002672,-0.00079567,0.15524493,0.9509067,-0.000775226,0.15144685,0.9506772,0.040022768,-0.95958984,-0.076881446,0.040022768,0.90762985,-0.3208293,0.040022768,0.9634963,2.69,291.0,13300.0,14.8,0.99942464,0.033348534,0.006188388,290.86737,-0.56177276,2.1100483,8.530462,42.456493,-130.66763,2.7428029,0.22077951
2010-08-29 00:17:42,1.7526355,-1.3740715,-1.4163413,2.659237,0.53655314,0.8002741,-0.0007957,0.15524493,0.9509067,-0.000775226,0.15144686,0.95067734,0.040021088,-0.95960206,-0.076729044,0.040021088,0.90763384,-0.32081825,0.040021088,0.9634963,2.91,297.0,17000.0,16.8,0.9998602,0.013534487,0.009812503,295.5413,-0.27221072,2.2864094,9.247112,48.770664,-135.86786,2.8136742,0.2465732
2010-08-29 00:18:42,1.730132,-1.3899595,-1.3093376,2.6085215,0.5365431,0.80028087,-0.00079572,0.15524328,0.950907,-0.000775226,0.15144521,0.95067763,0.040019408,-0.95961446,-0.07657496,0.040019408,0.90763783,-0.32080716,0.040019408,0.9634963,2.71,291.0,13500.0,14.9,0.9999047,0.013801307,0.0003450327,289.8276,-0.54679173,2.1567585,8.546745,48.45091,-133.28922,2.707376,0.22083369
2010-08-29 00:19:42,1.8995768,-1.3677428,-0.82483953,2.4952388,0.536533,0.8002877,-0.00079575,0.15524328,0.950907,-0.000775226,0.15144522,0.9506777,0.040017728,-0.9596267,-0.07642256,0.040017728,0.90764177,-0.3207961,0.040017728,0.9634963,2.72,290.0,13800.0,15.1,0.99973446,0.022784004,0.0034521217,289.6769,-0.51750666,2.3710084,8.351308,40.422783,-121.09276,2.4773307,0.22141814
2010-08-29 00:20:42,1.9232402,-1.3522197,-0.60049784,2.4327826,0.5365229,0.8002945,-0.00079577,0.15524161,0.9509073,-0.000775226,0.15144524,0.95067775,0.040016048,-0.9596389,-0.07627015,0.040016048,0.90764636,-0.32078347,0.040016048,0.9634963,2.86,290.0,13800.0,15.1,0.9997049,0.024172485,-0.0024172484,289.58545,-0.5676964,2.6226954,8.531174,37.76291,-113.9452,2.354867,0.23266767
2010-08-29 00:21:42,1.9341108,-1.3736564,-0.43031922,2.434559,0.53651285,0.8003014,-0.0007958,0.15523995,0.9509075,-0.000775226,0.15144359,0.9506781,0.040014368,-0.95965105,-0.07611774,0.040014368,0.90765035,-0.32077238,0.040014368,0.9634963,2.91,290.0,14100.0,15.2,0.99955904,0.029662551,-0.0013796536,289.92786,-0.5527685,2.6705823,8.656572,37.39762,-107.393974,2.3583074,0.23729543
2010-08-29 00:22:42,1.9708009,-1.3582271,-0.5439574,2.4842677,0.53650284,0.80030817,-0.00079582,0.15523995,0.9509075,-0.000775226,0.15144359,0.9506781,0.040014368,-0.9596633,-0.075963646,0.040014368,0.9076542,-0.3207613,0.040014368,0.9634963,2.72,291.0,13000.0,14.6,0.9996703,0.025526434,0.0027596145,289.89557,-0.60708547,2.3778043,8.29472,37.503834,-111.825645,2.4555938,0.22175252
