variable,max,mean,std,min
|B| (nT),18.7692,5.6944,2.9223,0.9441
BR (nT),6.2033,-1.9012,3.3541,-15.0606
BT (nT),15.5802,3.101,3.005,-6.4548
BN (nT),9.0681,0.1345,2.5521,-12.0778
Vp (km/s),633.0,503.4331,49.5048,355.0
Np (cm⁻³),29.0,2.3787,2.5247,0.46
