variable,max,mean,std,min
|B| (nT),17.6116,5.9955,4.3695,2.0717
BR (nT),3.7471,-1.5382,1.7829,-7.5537
BT (nT),12.7524,2.8345,3.3349,-9.7015
BN (nT),11.7734,-2.046,5.0506,-17.38
Vp (km/s),674.0,505.7985,63.7405,394.0
Np (cm⁻³),14.3,1.2451,1.9146,0.11
