Time,BTotal,Np,Vp,Tp,Beta,Entropy,Total_Pressure
2011-01-19 00:56:13,6.8929453,4.46,329.0,27200.0,0.56009525,0.0057990546,29.493944
2011-01-19 00:57:13,6.870333,4.92,331.0,29000.0,0.6294889,0.003757575,30.60405
2011-01-19 00:58:13,6.8408985,4.64,336.0,29300.0,0.59998137,0.07778927,29.792929
2011-01-19 00:59:13,6.747621,4.82,338.0,31300.0,0.6491295,0.13877557,29.876383
2011-01-19 01:00:13,6.649616,5.09,336.0,32200.0,0.71001685,0.1267942,30.086054
2011-01-19 01:01:13,6.64924,5.02,337.0,30400.0,0.69210494,0.05435634,29.76755
2011-01-19 01:02:13,6.69586,4.42,335.0,31800.0,0.6064826,0.2491821,28.65898
2011-01-19 01:03:13,6.724361,4.42,334.0,29900.0,0.59387654,0.15677038,28.676668
2011-01-19 01:04:13,6.7187395,4.42,331.0,32200.0,0.6039356,0.26793236,28.809418
2011-01-19 01:05:13,6.5724845,4.72,332.0,31600.0,0.6713098,0.17404924,28.726845
2011-01-19 01:06:13,6.3598866,5.75,336.0,32600.0,0.87911415,0.023390938,30.242897
2011-01-19 01:07:13,6.1884155,5.96,338.0,31900.0,0.9580324,-0.045039106,29.836658
2011-01-19 01:08:13,5.9781494,6.13,337.0,28800.0,1.0344898,-0.2265093,28.930792
2011-01-19 01:09:13,5.8537626,6.23,336.0,31100.0,1.1133533,-0.12744224,28.814657
2011-01-19 01:10:13,5.8484693,5.66,333.0,32200.0,1.020648,0.020648148,27.500866
2011-01-19 01:11:13,5.8660154,5.66,334.0,28700.0,0.99137807,-0.15195584,27.265375
2011-01-19 01:12:13,5.8251395,5.61,333.0,29000.0,0.9984556,-0.12748462,26.982271
2011-01-19 01:13:13,5.740568,5.67,328.0,31800.0,1.0584786,0.00013267745,26.991522
2011-01-19 01:14:13,5.6433725,5.95,330.0,33100.0,1.1591157,0.012031064,27.360527
2011-01-19 01:15:13,5.54175,5.97,333.0,29900.0,1.1810178,-0.14383684,26.651653
2011-01-19 01:16:13,5.4343467,7.17,333.0,36300.0,1.5375735,-0.036056682,29.818377
2011-01-19 01:17:13,5.1357718,7.08,330.0,40400.0,1.7442374,0.13709313,28.80074
2011-01-19 01:18:13,4.9918,6.06,331.0,34900.0,1.5264688,0.073142804,25.049496
2011-01-19 01:19:13,5.688443,1.77,306.0,20600.0,0.31184793,0.5130794,16.890522
2011-01-19 01:20:13,6.365984,1.96,303.0,21200.0,0.27689642,0.45417967,20.590155
2011-01-19 01:21:13,6.421355,2.15,304.0,21600.0,0.2993623,0.38969448,21.318487
2011-01-19 01:22:13,6.4052887,3.28,325.0,45800.0,0.5368707,1.0947051,25.089197
2011-01-19 01:23:13,6.4552083,3.3,323.0,61100.0,0.58059466,1.5209677,26.206736
2011-01-19 01:24:13,6.5275836,1.57,299.0,17500.0,0.20546606,0.38834807,20.437744
2011-01-19 01:25:13,6.38407,2.73,290.0,24300.0,0.3918533,0.32753527,22.57154
2011-01-19 01:26:13,6.213829,2.74,287.0,22000.0,0.40856406,0.17472813,21.640518
2011-01-19 01:27:13,6.176579,2.72,284.0,23100.0,0.41364548,0.2552394,21.458973
2011-01-19 01:28:13,6.1638284,2.17,298.0,24500.0,0.3345893,0.56940484,20.175362
2011-01-19 01:29:13,6.258064,2.16,295.0,23600.0,0.3210947,0.5178842,20.586693
2011-01-19 01:30:13,6.332843,2.13,297.0,23100.0,0.30813253,0.4997493,20.874779
2011-01-19 01:31:13,6.3220115,2.08,299.0,22700.0,0.30109337,0.49730185,20.691492
2011-01-19 01:32:13,6.2667594,2.47,289.0,20000.0,0.3570456,0.13550262,21.205723
2011-01-19 01:33:13,6.1658835,2.92,296.0,21500.0,0.44065595,0.07661815,21.793314
2011-01-19 01:34:13,6.1536326,3.18,291.0,25800.0,0.49634027,0.2648029,22.545803
2011-01-19 01:35:13,6.1490207,3.52,291.0,30900.0,0.56934375,0.43379566,23.610329
2011-01-19 01:36:13,6.0946374,3.0,297.0,20500.0,0.46012437,-0.0218526,21.580322
2011-01-19 01:37:13,6.143038,2.44,302.0,31100.0,0.3959484,0.80993605,20.960815
2011-01-19 01:38:13,6.276809,2.98,312.0,38100.0,0.48449597,0.9145205,23.271751
2011-01-19 01:39:13,6.2982364,3.12,311.0,39100.0,0.50697786,0.9074731,23.785755
2011-01-19 01:40:13,6.293188,2.37,306.0,23800.0,0.34887218,0.43776077,21.25616
2011-01-19 01:41:13,6.2337437,2.61,307.0,27500.0,0.4015664,0.55805117,21.671253
2011-01-19 01:42:13,6.131264,3.73,314.0,52800.0,0.69427603,1.1794809,25.342876
2011-01-19 01:43:13,6.1624513,2.73,309.0,27400.0,0.42951456,0.5076353,21.600708
2011-01-19 01:44:13,6.2397375,2.83,309.0,29400.0,0.4401378,0.5773377,22.310486
2011-01-19 01:45:13,6.3118014,2.19,311.0,32500.0,0.3397276,0.984081,21.237127
2011-01-19 01:46:13,6.340322,2.95,316.0,58100.0,0.52913445,1.5575657,24.459091
2011-01-19 01:47:13,6.3364286,3.54,328.0,51000.0,0.6105442,1.1797341,25.729635
2011-01-19 01:48:13,6.3099113,3.15,321.0,58200.0,0.5707857,1.494548,24.884869
2011-01-19 01:49:13,6.2865996,3.06,317.0,54600.0,0.54737765,1.4277582,24.333239
2011-01-19 01:50:13,6.3450136,2.21,311.0,32200.0,0.33858767,0.96107954,21.44295
2011-01-19 01:51:13,6.3870687,3.34,317.0,49900.0,0.56332684,1.205183,25.376102
2011-01-19 01:52:13,6.3625975,2.2,310.0,28900.0,0.32797652,0.8034274,21.391043
2011-01-19 01:53:13,6.300996,3.1,302.0,29100.0,0.47185788,0.47082752,23.251797
2011-01-19 01:54:13,6.222465,2.05,302.0,25900.0,0.31314114,0.709647,20.230612
2011-01-19 01:55:13,6.1950855,2.22,308.0,27400.0,0.3456055,0.7144297,20.548729
2011-01-19 01:56:13,6.0727997,2.88,310.0,29800.0,0.47413573,0.58009464,21.63155
2011-01-19 01:57:13,5.927611,4.07,323.0,87500.0,0.97230023,1.8499376,27.574234
2011-01-19 01:58:13,5.8332963,3.38,321.0,35000.0,0.62387365,0.6612688,21.986305
2011-01-19 01:59:13,5.7161407,2.14,294.0,13500.0,0.3546737,-0.31064895,17.612183
2011-01-19 02:00:13,5.7079186,3.67,313.0,71000.0,0.8707174,1.6399505,24.251299
2011-01-19 02:01:13,5.8525147,2.71,307.0,30100.0,0.4813215,0.65596145,20.18862
2011-01-19 02:02:13,6.0046935,1.99,312.0,24400.0,0.32309204,0.6498624,18.982107
2011-01-19 02:03:13,6.0992403,2.45,315.0,73800.0,0.5164971,2.1020725,22.44735
2011-01-19 02:04:13,6.0062256,1.67,309.0,46500.0,0.31217986,1.7924773,18.83516
2011-01-19 02:05:13,6.0044923,1.43,304.0,22400.0,0.2289942,0.85203934,17.630938
2011-01-19 02:06:13,6.209916,1.61,304.0,23200.0,0.24238794,0.7861166,19.063456
2011-01-19 02:07:13,6.2488446,2.92,314.0,54100.0,0.5271601,1.46079,23.727722
2011-01-19 02:08:13,6.0191092,2.95,318.0,87400.0,0.68314767,2.1700602,24.263767
2011-01-19 02:09:13,5.593765,2.25,308.0,50500.0,0.49649286,1.6181521,18.631815
2011-01-19 02:10:13,5.142136,2.3,304.0,32800.0,0.5386192,0.948856,16.187895
2011-01-19 02:11:13,4.9007707,2.6,306.0,53300.0,0.75965315,1.5545154,16.816181
2011-01-19 02:12:13,4.87053,2.12,301.0,27800.0,0.53539515,0.7822603,14.492548
2011-01-19 02:13:13,5.1720233,3.34,319.0,71600.0,0.96815974,1.7467942,20.948475
2011-01-19 02:14:13,5.5823646,3.13,319.0,76500.0,0.7986166,1.9110255,22.302132
2011-01-19 02:15:13,5.805152,3.22,320.0,79400.0,0.77088326,1.9384886,23.745893
2011-01-19 02:16:13,6.0637574,3.29,316.0,75800.0,0.708926,1.8473822,25.002213
2011-01-19 02:17:13,6.2659025,3.14,318.0,65700.0,0.60113823,1.6795479,25.013124
2011-01-19 02:18:13,6.3492846,3.14,322.0,77500.0,0.62244856,1.9273164,26.025091
2011-01-19 02:19:13,6.346165,2.89,322.0,54700.0,0.5075976,1.4876615,24.159071
2011-01-19 02:20:13,6.3174276,2.93,325.0,60100.0,0.5352734,1.6151347,24.380257
2011-01-19 02:21:13,6.358954,2.75,327.0,58500.0,0.49146962,1.6380615,23.997051
2011-01-19 02:22:13,6.429665,2.73,320.0,56200.0,0.47110927,1.5851959,24.198797
2011-01-19 02:23:13,6.4730015,3.08,323.0,76400.0,0.5841841,1.9251668,26.411247
2011-01-19 02:24:13,6.4671264,3.05,320.0,63800.0,0.5425598,1.6646105,25.670637
2011-01-19 02:25:13,6.4113445,2.94,319.0,51200.0,0.49585724,1.371322,24.46586
2011-01-19 02:26:13,6.3439465,2.36,315.0,48500.0,0.40016446,1.5098064,22.421797
2011-01-19 02:27:13,6.267138,2.79,315.0,62600.0,0.5250581,1.7252287,23.834
2011-01-19 02:28:13,6.3429737,2.62,314.0,54600.0,0.46037605,1.5829989,23.378826
2011-01-19 02:29:13,6.484194,2.24,312.0,55000.0,0.37750375,1.7506462,23.045025
2011-01-19 02:30:13,6.3857603,3.86,321.0,90800.0,0.80713505,1.9584441,29.321566
2011-01-19 02:31:13,6.1295304,3.45,320.0,67700.0,0.69759506,1.6303774,25.37816
2011-01-19 02:32:13,6.0408936,2.71,316.0,58000.0,0.5351692,1.6398382,22.291054
2011-01-19 02:33:13,5.912048,4.4,311.0,85500.0,1.0465424,1.7372924,28.462143
2011-01-19 02:34:13,5.577756,4.32,314.0,74600.0,1.0934467,1.5510777,25.91504
2011-01-19 02:35:13,5.4952903,4.85,312.0,87400.0,1.347465,1.6728866,28.206617
2011-01-19 02:36:13,5.5186877,5.32,315.0,88100.0,1.4704597,1.5923579,29.9378
2011-01-19 02:37:13,5.4673157,5.92,316.0,99300.0,1.7564806,1.6650043,32.784866
2011-01-19 02:38:13,5.4977946,4.56,312.0,75200.0,1.1916552,1.5090265,26.358463
2011-01-19 02:39:13,5.5215144,4.98,311.0,88700.0,1.3790189,1.6685823,28.85924
2011-01-19 02:40:13,5.5294676,5.08,312.0,85800.0,1.3832717,1.5988396,28.994175
2011-01-19 02:41:13,5.681597,6.41,323.0,121000.0,1.9345584,1.881949,37.692387
2011-01-19 02:42:13,5.8041906,6.57,327.0,170000.0,2.2846198,2.3673062,44.02892
