,BTOTAL,Vp,Np,Tp,Beta,Entropy,Total_Pressure
BTOTAL,1.0,0.0846813009458753,0.32567440755858446,0.19968145843650564,-0.38704197267439383,-0.005326867326988991,0.8411915256400638
Vp,0.0846813009458753,1.0,-0.5535085547530433,0.8243943108145715,-0.4237545641045314,0.831713037901145,-0.15832740168705564
Np,0.32567440755858446,-0.5535085547530433,1.0,-0.4392096490657466,0.6314594851949662,-0.7622204025821939,0.7080028826955498
Tp,0.19968145843650564,0.8243943108145715,-0.4392096490657466,1.0,-0.3180976353752157,0.8901229012253127,0.018664340771339792
Beta,-0.38704197267439383,-0.4237545641045314,0.6314594851949662,-0.3180976353752157,1.0,-0.5449186815743874,0.08709220974915675
Entropy,-0.005326867326988991,0.831713037901145,-0.7622204025821939,0.8901229012253127,-0.5449186815743874,1.0,-0.3189350131720101
Total_Pressure,0.8411915256400638,-0.15832740168705564,0.7080028826955498,0.018664340771339792,0.08709220974915675,-0.3189350131720101,1.0
