variable,max,mean,std,min
|B| (nT),11.0027,6.0095,2.0277,2.1056
BR (nT),8.057,1.7654,2.6768,-6.006
BT (nT),6.0763,-3.5189,2.4382,-9.8234
BN (nT),7.2819,-0.4537,3.2687,-10.09
Vp (km/s),486.0,338.8452,45.2585,267.0
Np (cm⁻³),20.0,6.1332,3.2752,0.69
